width,height,price
500,500,76.19
500,600,80.73
500,700,85.31
500,800,90.08
500,900,94.63
500,1000,99.35
500,1100,103.9
500,1200,108.48
500,1300,113.02
500,1400,117.84
500,1500,122.43
500,1600,126.97
500,1700,131.7
500,1800,136.24
600,500,81.04
600,600,85.82
600,700,90.87
600,800,95.65
600,900,100.44
600,1000,105.41
600,1100,110.19
600,1200,115.01
600,1300,119.8
600,1400,124.86
600,1500,129.68
600,1600,134.46
600,1700,139.43
600,1800,144.22
700,500,85.88
700,600,91.13
700,700,96.19
700,800,101.22
700,900,106.24
700,1000,111.45
700,1100,116.47
700,1200,121.54
700,1300,126.56
700,1400,131.86
700,1500,136.93
700,1600,141.95
700,1700,147.16
700,1800,152.18
800,500,90.91
800,600,96.17
800,700,101.47
800,800,106.74
800,900,112.0
800,1000,117.45
800,1100,122.72
800,1200,128.02
800,1300,133.29
800,1400,138.83
800,1500,144.13
800,1600,149.4
800,1700,154.85
800,1800,160.11
900,500,95.71
900,600,101.21
900,700,106.76
900,800,112.26
900,900,117.76
900,1000,123.45
900,1100,128.96
900,1200,134.5
900,1300,140.01
900,1400,145.79
900,1500,151.34
900,1600,156.84
900,1700,162.53
900,1800,168.04
1000,500,100.55
1000,600,106.29
1000,700,112.08
1000,800,117.82
1000,900,123.57
1000,1000,129.5
1000,1100,135.24
1000,1200,141.03
1000,1300,146.78
1000,1400,152.8
1000,1500,158.58
1000,1600,164.33
1000,1700,170.26
1000,1800,176.01
1100,500,105.35
1100,600,111.33
1100,700,117.36
1100,800,123.35
1100,900,129.33
1100,1000,135.5
1100,1100,141.49
1100,1200,147.51
1100,1300,153.5
1100,1400,159.76
1100,1500,165.79
1100,1600,171.78
1100,1700,177.95
1100,1800,183.93
1200,500,110.19
1200,600,116.42
1200,700,122.68
1200,800,128.91
1200,900,135.13
1200,1000,141.55
1200,1100,147.77
1200,1200,154.04
1200,1300,160.27
1200,1400,166.77
1200,1500,173.04
1200,1600,179.26
1200,1700,185.68
1200,1800,191.9
1300,500,114.99
1300,600,121.46
1300,700,127.96
1300,800,134.43
1300,900,140.9
1300,1000,147.55
1300,1100,154.02
1300,1200,160.52
1300,1300,166.99
1300,1400,173.73
1300,1500,180.24
1300,1600,186.71
1300,1700,193.36
1300,1800,199.83
1400,500,119.79
1400,600,126.5
1400,700,133.25
1400,800,139.95
1400,900,146.66
1400,1000,153.55
1400,1100,160.26
1400,1200,167.01
1400,1300,173.71
1400,1400,180.7
1400,1500,187.45
1400,1600,194.15
1400,1700,201.05
1400,1800,207.75
1500,500,124.68
1500,600,131.63
1500,700,138.62
1500,800,145.56
1500,900,152.51
1500,1000,159.64
1500,1100,166.59
1500,1200,173.58
1500,1300,180.53
1500,1400,187.75
1500,1500,194.74
1500,1600,201.69
1500,1700,208.82
1500,1800,215.77
1600,500,129.48
1600,600,136.67
1600,700,143.9
1600,800,151.09
1600,900,158.27
1600,1000,165.65
1600,1100,172.84
1600,1200,180.07
1600,1300,187.25
1600,1400,194.72
1600,1500,201.95
1600,1600,209.14
1600,1700,216.51
1600,1800,223.7
1700,500,134.32
1700,600,141.75
1700,700,149.22
1700,800,156.65
1700,900,164.08
1700,1000,171.69
1700,1100,179.12
1700,1200,186.59
1700,1300,194.02
1700,1400,201.73
1700,1500,209.2
1700,1600,216.62
1700,1700,224.24
1700,1800,231.67
1800,500,139.12
1800,600,146.79
1800,700,154.5
1800,800,162.17
1800,900,169.84
1800,1000,177.7
1800,1100,185.36
1800,1200,193.08
1800,1300,200.74
1800,1400,208.69
1800,1500,216.4
1800,1600,224.07
1800,1700,231.93
1800,1800,239.59
1900,500,143.93
1900,600,151.83
1900,700,159.78
1900,800,167.69
1900,900,175.6
1900,1000,183.7
1900,1100,191.61
1900,1200,199.56
1900,1300,207.47
1900,1400,215.65
1900,1500,223.61
1900,1600,231.52
1900,1700,239.61
1900,1800,247.52
2000,500,148.77
2000,600,156.92
2000,700,165.11
2000,800,173.26
2000,900,181.41
2000,1000,189.74
2000,1100,197.89
2000,1200,206.09
2000,1300,214.23
2000,1400,222.66
2000,1500,230.85
2000,1600,239.0
2000,1700,247.34
2000,1800,255.49
